ID, name, description, imgUrl, calories, proteins, carb, fat, ingredients,
1, Breakfast Taco, A hearty taco filled with scrambled eggs & cheese and sausage, https://i.pinimg.com/564x/2f/8f/bd/2f8fbd88f439fead732e62c7dfe788e4.jpg, 200 cal, 20g, 10g, 10g, 1 cup of flour;2 tbsp oil;100g meat
2, Pepperoni Pizza, A classic pizza topped with mozzarella cheese and spicy pepperoni, https://i.pinimg.com/564x/f4/c3/47/f4c3479b86417ada0b7a8949711ed473.jpg, 300 cal, 15g, 40g, 12g, 2 cups of flour;200g cheese;50g pepperoni
3, Garden Salad, A mix of fresh vegetables topped with a light vinaigrette dressing, https://i.pinimg.com/564x/56/fb/3f/56fb3f0a81ab2a5fef185f774365ef82.jpg, 150 cal, 5g, 20g, 5g, 1 cup lettuce;1 tomato;2 tbsp olive oil
4, Cheeseburger, A juicy beef patty with melted cheese and fresh toppings on a toasted bun, https://i.pinimg.com/736x/4a/9e/b5/4a9eb54e61026b01b186d5dd869a19df.jpg, 450 cal, 25g, 30g, 20g, 1 bun;150g beef patty;2 slices cheese
5, Berry Smoothie, A refreshing smoothie made with a blend of berries and creamy yogurt, https://i.pinimg.com/564x/3d/6b/df/3d6bdf4a7d3866218975e46eb96a3aea.jpg, 180 cal, 10g, 30g, 5g, 1 cup of mixed berries;1 banana;1/2 cup yogurt
6, Salmon Sushi, A classic Japanese dish with fresh salmon and perfectly seasoned rice, https://i.pinimg.com/736x/ad/53/0f/ad530f9e0f23f1b03bfaaa14b85e9e79.jpg, 250 cal, 18g, 30g, 8g, 1 cup sushi rice;100g salmon;1 sheet nori
7, Beef Stew, A hearty stew made with tender beef & carrots and potatoes simmered in a rich broth, https://i.pinimg.com/736x/9b/77/ed/9b77ed699def82d1cca8bab9d35d461d.jpg, 350 cal, 25g, 30g, 15g, 200g beef;2 carrots;3 potatoes;1 cup beef stock
8, Chicken Alfredo, Creamy pasta topped with juicy grilled chicken and parmesan cheese, https://i.pinimg.com/736x/2b/98/75/2b9875fb4b5f89445e95125e0cfb42b0.jpg, 450 cal, 30g, 50g, 20g, 200g fettuccine;150g chicken breast;1/2 cup heavy cream;30g parmesan
9, Caesar Salad, A crisp salad with romaine lettuce & croutons and a tangy Caesar dressing, https://i.pinimg.com/736x/2b/76/21/2b7621769b5076421937b37856188ed3.jpg, 180 cal, 8g, 10g, 12g, 2 cups romaine lettuce;1/4 cup croutons;2 tbsp Caesar dressing
10, Garlic Bread, A toasted baguette smothered in garlic butter and sprinkled with parsley, https://i.pinimg.com/736x/38/07/c6/3807c6f98ca709bbce4818b7e8e6eaf1.jpg, 200 cal, 5g, 25g, 10g, 1 baguette;2 tbsp butter;2 cloves garlic;1 tbsp parsley
11, Tomato Soup, A comforting soup made from fresh tomatoes and a hint of basil, https://i.pinimg.com/736x/dc/88/5e/dc885e424e2cc36080e3ffaee09b6dfb.jpg, 150 cal, 4g, 20g, 5g, 3 tomatoes;1 cup vegetable stock;2 tbsp basil
12, Lemon Tart, A zesty dessert with a buttery crust and a smooth lemon filling, https://i.pinimg.com/736x/5b/4a/0a/5b4a0a9c29c17ef7d45674addc3964c6.jpg, 300 cal, 6g, 35g, 15g, 1 tart crust;3 lemons;1/2 cup sugar;2 eggs
13, Tuna Sandwich, A filling sandwich with tuna salad & crisp lettuce and fresh tomato slices, https://i.pinimg.com/736x/54/25/79/542579e72fa94d8f17f9c8c43c3a9efa.jpg, 350 cal, 20g, 35g, 15g, 2 slices bread;1 can tuna;1 tbsp mayonnaise;1 lettuce leaf;2 tomato slices
14, Mango Salsa, A refreshing mix of ripe mangoes & red onions and cilantro, https://i.pinimg.com/736x/a0/67/c6/a067c69a82f1d738b20f670180c821a1.jpg, 100 cal, 1g, 25g, 0g, 1 mango;1/4 cup red onion;1 tbsp cilantro;1 lime
15, Apple Pie, A classic dessert with a flaky crust and sweet apple filling, https://i.pinimg.com/736x/c1/70/1f/c1701fb98854426eb008f81c40783dc3.jpg, 400 cal, 5g, 60g, 15g, 1 pie crust;3 apples;1/2 cup sugar;1 tsp cinnamon
16, Grilled Cheese, A melty cheese sandwich toasted to golden perfection, https://i.pinimg.com/736x/77/91/4c/77914c97ccc59b6595c576a8b34254a8.jpg, 350 cal, 10g, 30g, 20g, 2 slices bread;2 slices cheese;1 tbsp butter
17, Shrimp Tacos, Soft tortillas filled with spiced shrimp and a tangy slaw, https://i.pinimg.com/736x/44/89/e6/4489e6d2d5a52a128132fa66abb2f714.jpg, 250 cal, 20g, 20g, 10g, 3 tortillas;100g shrimp;1/2 cup slaw;2 tbsp sour cream
18, Veggie Stir-fry, A vibrant mix of vegetables sautéed in a savory sauce, https://i.pinimg.com/736x/71/fb/18/71fb1870d8f8427af2ea9bee95548a40.jpg, 200 cal, 5g, 25g, 10g, 1 cup broccoli;1 carrot;1/2 bell pepper;2 tbsp soy sauce
19, Peanut Butter, Smooth and creamy peanut butter spread for sandwiches or snacks, https://i.pinimg.com/736x/23/1a/53/231a535cb4cdfcc7cd9989b2d147cbd4.jpg, 190 cal, 7g, 6g, 16g, 2 tbsp peanuts;1 tsp salt
20, Blueberry Muffin, A soft and moist muffin bursting with sweet blueberries, https://i.pinimg.com/736x/e4/f0/e7/e4f0e76ae65975f41a28c8a9058b031c.jpg, 250 cal, 4g, 30g, 10g, 1 cup flour;1/2 cup blueberries;1/2 cup sugar;1 egg
21, Pad Thai, A popular Thai dish with stir-fried noodles & peanuts and a tangy sauce, https://i.pinimg.com/736x/b0/5c/b5/b05cb5f25a9f05b51c71ff0da32ed06e.jpg, 350 cal, 15g, 45g, 12g, 200g rice noodles;100g tofu;1/4 cup peanuts;2 tbsp tamarind sauce
22, Spinach Quiche, A savory pie filled with spinach & eggs and cheese, https://i.pinimg.com/736x/26/97/36/269736e8d1557ee2251e60cbe0c418b3.jpg, 300 cal, 12g, 25g, 18g, 1 pie crust;2 cups spinach;3 eggs;1/2 cup cheese
23, Chocolate Brownie, A rich and fudgy dessert made with real chocolate, https://i.pinimg.com/736x/3f/b0/eb/3fb0eb836ff71a4bb8c0a32824e58a85.jpg, 400 cal, 5g, 45g, 20g, 1/2 cup flour;1/2 cup sugar;1/4 cup cocoa powder;2 eggs
24, Greek Salad, A fresh salad with cucumbers & tomatoes & olives and feta cheese, https://i.pinimg.com/736x/d1/e2/a9/d1e2a9c45ae8746c20b326c49414f663.jpg, 200 cal, 6g, 12g, 15g, 1 cucumber;2 tomatoes;1/4 cup olives;1/4 cup feta cheese
25, Barbecue Ribs, Tender ribs coated in a smoky barbecue sauce, https://i.pinimg.com/736x/e8/84/af/e884af6158250684fb6891115bad9f6d.jpg, 500 cal, 30g, 15g, 35g, 300g pork ribs;1/4 cup barbecue sauce;1 tbsp honey;1 tsp smoked paprika
